更新时间,#genre#
20260814 02:28,url

RespoTime,whitelist,#genre#
19.55ms,SPIN (720p),https://bec-spin-1-us.plex.wurl.tv/3000.m3u8
19.56ms,浙江国际,https://t.freetv.fun/live/zhe-jiang-guo-ji-3.m3u8
19.58ms,☆女孩,https://alimov2.a.kwimgs.com/upic/2023/08/04/04/BMjAyMzA4MDQwNDE4MjdfMzUwMDUzNzE1MV8xMDk2MjMzNDYwNTdfMl8z_b_B8e6ab320b1d831bbc8a3bff3a38b848d.mp4
19.66ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-5.m3u8
19.72ms,Beach TV Panama City (720p),http://media4.tripsmarter.com:1935/LiveTV/BTVHD/playlist.m3u8
19.73ms,中天新闻,https://t.freetv.fun/live/zhong-tian-xin-wen-6.m3u8
19.78ms,金鹰卡通,https://stream1.freetv.fun/10c162a19187277452e11fbe6cc81e691467a45e9aaa62427d2ba9ed3d5254b9.m3u8
19.78ms,Telemundo,https://t.freetv.fun/live/telemundo-florida-1.m3u8
19.80ms,三沙衛視,https://t.freetv.fun/live/san-sha-wei-shi-1.m3u8
19.81ms,公视戏剧,https://t.freetv.fun/live/gong-shi-xi-ju.m3u8
19.82ms,Reuters TV (480p),https://amg00453-reuters-amg00453c1-xumo-us-2073.playouts.now.amagi.tv/reuters-reuters-hls/playlist480P.m3u8
19.86ms,浙江钱江,https://stream1.freetv.fun/bf079ada709563bdd095159c02dfb5afb53c24e643b73f987100b9d25e9c8f41.m3u8
19.92ms,Kaz Sport,https://t.freetv.fun/live/qazsport.m3u8
19.95ms,南宁新闻综合,https://t.freetv.fun/live/nan-zhu-xin-wen-zong-he.m3u8
19.95ms,WGAL-DT3 (1080p) [Geo-blocked],https://lowa8026-cmyk.github.io/iptv/WGAL-DT3/index.m3u8
19.96ms,CCTV7,https://stream1.freetv.fun/38c7c346b707a4febeabb5ecd55e67687d764ec0a561894ff0e953e516acdfb1.m3u8
20.00ms,CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-1.m3u8
20.00ms,广东珠江,https://stream1.freetv.fun/468bff09871ed8a1eba7a539f461001a9683ac2cbb084ef2d52449c7f1a52478.m3u8
20.15ms,一开始说陪你到老的人,https://alimov2.a.kwimgs.com/upic/2022/05/20/05/BMjAyMjA1MjAwNTIyNDdfOTU2MzA3MDg4Xzc0ODAyMzE4MjUxXzJfMw==_b_B34d1d70d885847ad6b3d230bdb8a841e.mp4?clientCacheKey=3xuq9chbp7xnh86_b.mp4&tt=b&di=24710a0b&bp=10000
20.34ms,中视新闻,https://t.freetv.fun/live/zhong-shi-xin-wen-1.m3u8
20.48ms,广东珠江,https://stream1.freetv.fun/967c330a56e8f2fed10ea053ac29b132d29e323680b5e20a53e3af6bcf7b2f54.m3u8
20.49ms,浙江民生休闲,https://t.freetv.fun/live/zhe-jiang-min-sheng-11.m3u8
20.50ms,厦门卫视,https://stream1.freetv.fun/aa65dd411565991ace44f9e5934bd018fdd52122e052d471a363b6ee839e1079.m3u8
20.51ms,CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan-4.m3u8
20.53ms,广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-4.m3u8
20.59ms,青海卫视,https://stream1.freetv.fun/d6cb8a9b2d3d4f555418141ecb008cc61e84a6278690a855241eb57bf43fdf75.m3u8
20.59ms,ITV2,https://t.freetv.fun/live/ictv2-1.m3u8
20.60ms,內蒙古衛視,https://t.freetv.fun/live/nei-meng-gu-wei-shi-14.m3u8
20.63ms,三立新闻,https://t.freetv.fun/live/san-li-xin-wen.m3u8
20.65ms,西宁生活服务,https://t.freetv.fun/live/xi-zhu-sheng-huo-fu-wu-1.flv
20.69ms,TCCTV-2,https://t.freetv.fun/live/cctv-2cai-jing-10.m3u8
20.71ms,CCTV9,https://stream1.freetv.fun/3c6125aad8eab2287c7cb76da027f3e9673949eec3709dc9f3fd0e3ae9ab4548.m3u8
20.71ms,青海卫视,https://stream1.freetv.fun/d6e32c6ed01121487159b5b2fc12698d5551739ef7911c9fbb25e830e31456d2.m3u8
20.72ms,Bloomberg TV,https://t.freetv.fun/live/bloomberg-tv.m3u8
20.73ms,金川新闻综合,https://t.freetv.fun/live/jin-chuan-xin-wen-zong-he-1.m3u8
20.73ms,New K-Pop (360p),https://newidco-newkid-1-eu.plex.wurl.tv/1200.m3u8
20.74ms,厦门卫视,https://stream1.freetv.fun/a927444efa3d55d3d42d4d80fc9dd565caeae93fe0328d6e078367c2120df3d4.m3u8
20.78ms,Nickelodeon  (UK),https://t.freetv.fun/live/nickelodeon-2.m3u8
20.82ms,Al Rayyan,https://t.freetv.fun/live/al-rayyan.m3u8
20.85ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-12.m3u8
20.85ms,SPIN (1080p),https://bec-spin-1-us.plex.wurl.tv/4300.m3u8
20.85ms,HTV9,https://t.freetv.fun/live/htv9.m3u8
20.88ms,宜兴新闻,https://t.freetv.fun/live/yi-xing-xin-wen-1.m3u8
20.91ms,萧山新闻综合,https://t.freetv.fun/live/xiao-shan-xin-wen-zong-he-1.m3u8
20.93ms,Discovery Turbo UK,https://t.freetv.fun/live/discovery-turbo.m3u8
20.97ms,公視HD,https://t.freetv.fun/live/gong-shi-2.m3u8
20.98ms,CCTV1,https://stream1.freetv.fun/df7cf71b3e02015b9029ac087b3eec56fde92fd81d162962570629faec293037.m3u8
20.99ms,Anti TV,https://t.freetv.fun/live/ayni-tv.m3u8
21.00ms,愿你,https://alimov2.a.kwimgs.com/upic/2022/05/20/05/BMjAyMjA1MjAwNTE0MDBfOTU2MzA3MDg4Xzc0ODAyMTYyNjgxXzJfMw==_b_Ba995a3eb66080482b498b341e7b0761f.mp4?clientCacheKey=3xjjeepi9v7gvw4_b.mp4&tt=b&di=24710a0b&bp=10000
21.01ms,厦门卫视,https://stream1.freetv.fun/f8d1629f014d910f22eba5798df47afb57a1636020d0ef99783649dc37c7a627.m3u8
21.01ms,羞答答的玫瑰,https://alimov2.a.kwimgs.com/upic/2023/07/28/11/BMjAyMzA3MjgxMTQ3MDRfMzM5Njk4MTMyNl8xMDkwNjczMTE5NDlfMF8z_b_B8423a7dac79a1e58599a94e4226e7987.mp4?clientCacheKey=3xyfhpvzhi825f4_b.mp4&tt=b&di=75b3b1ea&bp=10000
21.03ms,经典Dj嗨歌09,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8e884a6e896c30103700199cc4951c3_258.mp4
21.08ms,优漫卡通,https://stream1.freetv.fun/9a50e666912cb82bd584eb50bb030b7f654275ed05a586ef3c63ac39789df94b.m3u8
21.15ms,寰宇新闻,https://t.freetv.fun/live/huan-yu-xin-wen-3.m3u8
21.16ms,湖北垄上,https://t.freetv.fun/live/hu-bei-long-shang.m3u8
21.16ms,BET,https://t.freetv.fun/live/bet.m3u8
21.23ms,凤凰中文,https://stream1.freetv.fun/4e695e885cc20b20b7e3ec874fe52ed75e27443778c8ff29e498c4c9d7cec4a0.m3u8
21.23ms,广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-19.m3u8
21.23ms,绍兴新闻综合,https://t.freetv.fun/live/shao-xing-xin-wen-zong-he-2.m3u8
21.23ms,El Pinguino,https://t.freetv.fun/live/el-pinguino-tv-2.m3u8
21.24ms,TCCTV-2,https://t.freetv.fun/live/cctv-2hd-4.m3u8
21.25ms,RTi,https://t.freetv.fun/live/rti-1.m3u8
21.27ms,TVSA Government Channel (720p),https://edge-f.swagit.com/live/sanantoniotx/live-1-a/playlist.m3u8
21.31ms,浙江少儿,https://t.freetv.fun/live/zhe-jiang-shao-er-1.m3u8
21.33ms,Fox News Channel,https://t.freetv.fun/live/fox-news-channel-3.m3u8
21.36ms,湖北教育,https://t.freetv.fun/live/hu-bei-jiao-yu.m3u8
21.38ms,TVSA Public Channel (720p),https://edge-f.swagit.com/live/sanantoniotx/live-2-a/playlist.m3u8
21.39ms,SKY Sports Football,https://t.freetv.fun/live/sky-sports-football-50fps.m3u8
21.40ms,TRAVEL,https://t.freetv.fun/live/intravel-1.m3u8
21.42ms,安徽影视,https://t.freetv.fun/live/an-hui-ying-shi.m3u8
21.42ms,CSat TV (1080p) [Not 24/7],http://media.smc-host.com:1935/csat.tv/smil:csat.smil/playlist.m3u8
21.43ms,年代MUCH,https://t.freetv.fun/live/much.m3u8
21.43ms,Ajman tv,https://t.freetv.fun/live/amarin-tv.m3u8
21.44ms,Vision Latina Network (1080p),https://cdn-cloudfront.us-east-1.prod.ingest.aws-infra.dacast.com/live/c1804a4c-ccbf-46e5-87c3-0f8d4a94d9e3/master.m3u8
21.45ms,浙江新闻,https://t.freetv.fun/live/zhe-jiang-xin-wen-1.m3u8
21.45ms,rasan tv,https://t.freetv.fun/live/pasand-tv.m3u8
